Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.2
    85 years and over,1.6%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.2
    18 years and over,75.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    60 years and over,15.9%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    62 years and over,13.8%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.3
    65 years and over,11.1%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    75 years and over,5.1%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Female!!Margin of Error",
    Median age (years),36.2,"Fairfax County, Virginia!!Female!!Margin of Error",±0.3
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Fairfax County, Virginia!!Female!!Margin of Error",
    Sex,0.2%,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
    Age,1.6%,"Fairfax County, Virginia!!Female!!Margin of Error",(X)
Total population,"1,787,694","Loudoun County, Virginia!!Total!!Estimate","315,134"
AGE,,"Loudoun County, Virginia!!Total!!Estimate",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Total!!Estimate",8.9%
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Total!!Estimate",9.3%
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Total!!Estimate",8.0%
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Total!!Estimate",6.1%
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Total!!Estimate",4.2%
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Total!!Estimate",5.9%
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Total!!Estimate",7.7%
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Total!!Estimate",9.8%
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Total!!Estimate",9.1%
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Total!!Estimate",9.0%
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Total!!Estimate",6.5%
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Total!!Estimate",4.8%
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Total!!Estimate",3.9%
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Total!!Estimate",2.4%
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Total!!Estimate",1.3%
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Total!!Estimate",1.2%
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Total!!Estimate",0.9%
    85 years and over,1.6%,"Loudoun County, Virginia!!Total!!Estimate",0.6%
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Total!!Estimate",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Total!!Estimate",17.3%
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Total!!Estimate",4.3%
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Total!!Estimate",6.0%
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Total!!Estimate",42.9%
    16 years and over,78.4%,"Loudoun County, Virginia!!Total!!Estimate",72.5%
    18 years and over,75.9%,"Loudoun County, Virginia!!Total!!Estimate",69.4%
    60 years and over,15.9%,"Loudoun County, Virginia!!Total!!Estimate",10.5%
    62 years and over,13.8%,"Loudoun County, Virginia!!Total!!Estimate",9.0%
    65 years and over,11.1%,"Loudoun County, Virginia!!Total!!Estimate",6.5%
    75 years and over,5.1%,"Loudoun County, Virginia!!Total!!Estimate",2.8%
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Total!!Estimate",
    Median age (years),36.2,"Loudoun County, Virginia!!Total!!Estimate",34.9
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Total!!Estimate",97.4
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Total!!Estimate",59.0
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Total!!Estimate",10.4
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Total!!Estimate",48.6
PERCENT IMPUTED,,"Loudoun County, Virginia!!Total!!Estimate",
    Sex,0.2%,"Loudoun County, Virginia!!Total!!Estimate",0.4%
    Age,1.6%,"Loudoun County, Virginia!!Total!!Estimate",1.2%
Total population,"1,787,694","Loudoun County, Virginia!!Total!!Margin of Error",*****
AGE,,"Loudoun County, Virginia!!Total!!Margin of Error",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.6
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.3
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    85 years and over,1.6%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    18 years and over,75.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.5
    62 years and over,13.8%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.5
    65 years and over,11.1%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Total!!Margin of Error",
    Median age (years),36.2,"Loudoun County, Virginia!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Total!!Margin of Error",±0.7
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Total!!Margin of Error",±0.4
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Total!!Margin of Error",±0.3
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Total!!Margin of Error",±0.3
PERCENT IMPUTED,,"Loudoun County, Virginia!!Total!!Margin of Error",
    Sex,0.2%,"Loudoun County, Virginia!!Total!!Margin of Error",(X)
    Age,1.6%,"Loudoun County, Virginia!!Total!!Margin of Error",(X)
Total population,"1,787,694","Loudoun County, Virginia!!Male!!Estimate","155,514"
AGE,,"Loudoun County, Virginia!!Male!!Estimate",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Male!!Estimate",9.1%
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Male!!Estimate",9.4%
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Male!!Estimate",8.4%
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Male!!Estimate",6.2%
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Male!!Estimate",4.6%
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Male!!Estimate",5.7%
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Male!!Estimate",7.3%
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Male!!Estimate",9.5%
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Male!!Estimate",9.5%
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Male!!Estimate",9.4%
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Male!!Estimate",6.4%
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Male!!Estimate",4.8%
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Male!!Estimate",4.0%
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Male!!Estimate",2.4%
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Male!!Estimate",1.3%
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Male!!Estimate",1.3%
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Male!!Estimate",0.5%
    85 years and over,1.6%,"Loudoun County, Virginia!!Male!!Estimate",0.2%
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Male!!Estimate",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Male!!Estimate",17.8%
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Male!!Estimate",4.5%
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Male!!Estimate",6.3%
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Male!!Estimate",42.8%
    16 years and over,78.4%,"Loudoun County, Virginia!!Male!!Estimate",71.7%
    18 years and over,75.9%,"Loudoun County, Virginia!!Male!!Estimate",68.6%
    60 years and over,15.9%,"Loudoun County, Virginia!!Male!!Estimate",9.7%
    62 years and over,13.8%,"Loudoun County, Virginia!!Male!!Estimate",7.9%
    65 years and over,11.1%,"Loudoun County, Virginia!!Male!!Estimate",5.8%
    75 years and over,5.1%,"Loudoun County, Virginia!!Male!!Estimate",2.0%
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Male!!Estimate",
    Median age (years),36.2,"Loudoun County, Virginia!!Male!!Estimate",34.4
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Loudoun County, Virginia!!Male!!Estimate",
    Sex,0.2%,"Loudoun County, Virginia!!Male!!Estimate",(X)
    Age,1.6%,"Loudoun County, Virginia!!Male!!Estimate",(X)
Total population,"1,787,694","Loudoun County, Virginia!!Male!!Margin of Error",±582
AGE,,"Loudoun County, Virginia!!Male!!Margin of Error",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.8
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.8
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.8
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.8
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.7
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.7
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.2
    85 years and over,1.6%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.2
    16 years and over,78.4%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    18 years and over,75.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.3
    60 years and over,15.9%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.7
    62 years and over,13.8%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.7
    65 years and over,11.1%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.2
    75 years and over,5.1%,"Loudoun County, Virginia!!Male!!Margin of Error",±0.2
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Male!!Margin of Error",
    Median age (years),36.2,"Loudoun County, Virginia!!Male!!Margin of Error",±0.4
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Loudoun County, Virginia!!Male!!Margin of Error",
    Sex,0.2%,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
    Age,1.6%,"Loudoun County, Virginia!!Male!!Margin of Error",(X)
Total population,"1,787,694","Loudoun County, Virginia!!Female!!Estimate","159,620"
AGE,,"Loudoun County, Virginia!!Female!!Estimate",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Female!!Estimate",8.7%
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Female!!Estimate",9.3%
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Female!!Estimate",7.6%
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Female!!Estimate",5.9%
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Female!!Estimate",3.9%
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Female!!Estimate",6.1%
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Female!!Estimate",8.2%
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Female!!Estimate",10.2%
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Female!!Estimate",8.7%
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Female!!Estimate",8.7%
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Female!!Estimate",6.6%
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Female!!Estimate",4.9%
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Female!!Estimate",3.9%
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Female!!Estimate",2.5%
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Female!!Estimate",1.4%
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Female!!Estimate",1.1%
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Female!!Estimate",1.4%
    85 years and over,1.6%,"Loudoun County, Virginia!!Female!!Estimate",1.1%
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Female!!Estimate",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Female!!Estimate",16.9%
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Female!!Estimate",4.2%
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Female!!Estimate",5.6%
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Female!!Estimate",43.0%
    16 years and over,78.4%,"Loudoun County, Virginia!!Female!!Estimate",73.3%
    18 years and over,75.9%,"Loudoun County, Virginia!!Female!!Estimate",70.2%
    60 years and over,15.9%,"Loudoun County, Virginia!!Female!!Estimate",11.2%
    62 years and over,13.8%,"Loudoun County, Virginia!!Female!!Estimate",10.0%
    65 years and over,11.1%,"Loudoun County, Virginia!!Female!!Estimate",7.3%
    75 years and over,5.1%,"Loudoun County, Virginia!!Female!!Estimate",3.5%
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Female!!Estimate",
    Median age (years),36.2,"Loudoun County, Virginia!!Female!!Estimate",35.1
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Loudoun County, Virginia!!Female!!Estimate",
    Sex,0.2%,"Loudoun County, Virginia!!Female!!Estimate",(X)
    Age,1.6%,"Loudoun County, Virginia!!Female!!Estimate",(X)
Total population,"1,787,694","Loudoun County, Virginia!!Female!!Margin of Error",±582
AGE,,"Loudoun County, Virginia!!Female!!Margin of Error",
    Under 5 years,7.0%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    5 to 9 years,6.8%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.8
    10 to 14 years,6.5%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.8
    15 to 19 years,6.4%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.4
    20 to 24 years,6.4%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    25 to 29 years,7.4%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    30 to 34 years,7.6%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    35 to 39 years,7.8%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.8
    40 to 44 years,7.8%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.8
    45 to 49 years,7.7%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.6
    60 to 64 years,4.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.6
    65 to 69 years,3.5%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.4
    70 to 74 years,2.5%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.4
    75 to 79 years,1.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.5
    80 to 84 years,1.6%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    85 years and over,1.6%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.4
SELECTED AGE CATEGORIES,,"Loudoun County, Virginia!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    18 to 24 years,8.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    15 to 44 years,43.5%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    16 years and over,78.4%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    18 years and over,75.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.3
    60 years and over,15.9%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.7
    62 years and over,13.8%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.5
    65 years and over,11.1%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    75 years and over,5.1%,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
SUMMARY INDICATORS,,"Loudoun County, Virginia!!Female!!Margin of Error",
    Median age (years),36.2,"Loudoun County, Virginia!!Female!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Loudoun County, Virginia!!Female!!Margin of Error",
    Sex,0.2%,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
    Age,1.6%,"Loudoun County, Virginia!!Female!!Margin of Error",(X)
