Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
BEDROOMS,,"Santa Clara County, California!!Percent Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Percent Margin of Error",(X)
    No bedroom,"19,944","Santa Clara County, California!!Percent Margin of Error",±0.4
    1 bedroom,"89,100","Santa Clara County, California!!Percent Margin of Error",±0.7
    2 bedrooms,"162,836","Santa Clara County, California!!Percent Margin of Error",±0.9
    3 bedrooms,"202,224","Santa Clara County, California!!Percent Margin of Error",±0.8
    4 bedrooms,"122,330","Santa Clara County, California!!Percent Margin of Error",±0.6
    5 or more bedrooms,"35,521","Santa Clara County, California!!Percent Margin of Error",±0.5
HOUSING TENURE,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    Owner-occupied,"342,955","Santa Clara County, California!!Percent Margin of Error",±0.8
    Renter-occupied,"256,280","Santa Clara County, California!!Percent Margin of Error",±0.8
    Average household size of owner-occupied unit,3.01,"Santa Clara County, California!!Percent Margin of Error",(X)
    Average household size of renter-occupied unit,2.86,"Santa Clara County, California!!Percent Margin of Error",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    Moved in 2005 or later,"282,245","Santa Clara County, California!!Percent Margin of Error",±0.8
    Moved in 2000 to 2004,"101,772","Santa Clara County, California!!Percent Margin of Error",±0.8
    Moved in 1990 to 1999,"101,476","Santa Clara County, California!!Percent Margin of Error",±0.7
    Moved in 1980 to 1989,"50,775","Santa Clara County, California!!Percent Margin of Error",±0.5
    Moved in 1970 to 1979,"35,403","Santa Clara County, California!!Percent Margin of Error",±0.4
    Moved in 1969 or earlier,"27,564","Santa Clara County, California!!Percent Margin of Error",±0.3
VEHICLES AVAILABLE,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    No vehicles available,"31,267","Santa Clara County, California!!Percent Margin of Error",±0.3
    1 vehicle available,"168,953","Santa Clara County, California!!Percent Margin of Error",±0.9
    2 vehicles available,"249,590","Santa Clara County, California!!Percent Margin of Error",±1.1
    3 or more vehicles available,"149,425","Santa Clara County, California!!Percent Margin of Error",±1.0
HOUSE HEATING FUEL,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    Utility gas,"401,603","Santa Clara County, California!!Percent Margin of Error",±0.8
"    Bottled, tank, or LP gas","8,862","Santa Clara County, California!!Percent Margin of Error",±0.2
    Electricity,"178,541","Santa Clara County, California!!Percent Margin of Error",±0.9
"    Fuel oil, kerosene, etc.",462,"Santa Clara County, California!!Percent Margin of Error",±0.1
    Coal or coke,0,"Santa Clara County, California!!Percent Margin of Error",±0.1
    Wood,"1,887","Santa Clara County, California!!Percent Margin of Error",±0.1
    Solar energy,850,"Santa Clara County, California!!Percent Margin of Error",±0.1
    Other fuel,"1,238","Santa Clara County, California!!Percent Margin of Error",±0.1
    No fuel used,"5,792","Santa Clara County, California!!Percent Margin of Error",±0.2
SELECTED CHARACTERISTICS,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    Lacking complete plumbing facilities,"3,645","Santa Clara County, California!!Percent Margin of Error",±0.2
    Lacking complete kitchen facilities,"6,765","Santa Clara County, California!!Percent Margin of Error",±0.2
    No telephone service available,"10,027","Santa Clara County, California!!Percent Margin of Error",±0.3
OCCUPANTS PER ROOM,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",(X)
    1.00 or less,"551,916","Santa Clara County, California!!Percent Margin of Error",±0.5
    1.01 to 1.50,"32,292","Santa Clara County, California!!Percent Margin of Error",±0.5
    1.51 or more,"15,027","Santa Clara County, California!!Percent Margin of Error",±0.4
VALUE,,"Santa Clara County, California!!Percent Margin of Error",
    Owner-occupied units,"342,955","Santa Clara County, California!!Percent Margin of Error",(X)
"    Less than $50,000","7,522","Santa Clara County, California!!Percent Margin of Error",±0.3
"    $50,000 to $99,999","9,155","Santa Clara County, California!!Percent Margin of Error",±0.4
"    $100,000 to $149,999","4,362","Santa Clara County, California!!Percent Margin of Error",±0.3
"    $150,000 to $199,999","5,612","Santa Clara County, California!!Percent Margin of Error",±0.3
"    $200,000 to $299,999","16,502","Santa Clara County, California!!Percent Margin of Error",±0.6
"    $300,000 to $499,999","70,855","Santa Clara County, California!!Percent Margin of Error",±1.1
"    $500,000 to $999,999","161,903","Santa Clara County, California!!Percent Margin of Error",±1.2
"    $1,000,000 or more","67,044","Santa Clara County, California!!Percent Margin of Error",±0.9
    Median (dollars),"639,400","Santa Clara County, California!!Percent Margin of Error",(X)
MORTGAGE STATUS,,"Santa Clara County, California!!Percent Margin of Error",
    Owner-occupied units,"342,955","Santa Clara County, California!!Percent Margin of Error",(X)
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Percent Margin of Error",±1.0
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Percent Margin of Error",±1.0
SELECTED MONTHLY OWNER COSTS (SMOC),,"Santa Clara County, California!!Percent Margin of Error",
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than $300,441,"Santa Clara County, California!!Percent Margin of Error",±0.1
    $300 to $499,"1,586","Santa Clara County, California!!Percent Margin of Error",±0.2
    $500 to $699,"2,152","Santa Clara County, California!!Percent Margin of Error",±0.3
    $700 to $999,"4,788","Santa Clara County, California!!Percent Margin of Error",±0.4
"    $1,000 to $1,499","16,484","Santa Clara County, California!!Percent Margin of Error",±0.8
"    $1,500 to $1,999","28,710","Santa Clara County, California!!Percent Margin of Error",±1.1
"    $2,000 or more","202,115","Santa Clara County, California!!Percent Margin of Error",±1.2
    Median (dollars),"2,994","Santa Clara County, California!!Percent Margin of Error",(X)
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than $100,"1,051","Santa Clara County, California!!Percent Margin of Error",±0.6
    $100 to $199,"3,040","Santa Clara County, California!!Percent Margin of Error",±0.8
    $200 to $299,"8,855","Santa Clara County, California!!Percent Margin of Error",±1.5
    $300 to $399,"14,202","Santa Clara County, California!!Percent Margin of Error",±1.4
    $400 or more,"59,531","Santa Clara County, California!!Percent Margin of Error",±2.1
    Median (dollars),539,"Santa Clara County, California!!Percent Margin of Error",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Santa Clara County, California!!Percent Margin of Error",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than 20.0 percent,"61,314","Santa Clara County, California!!Percent Margin of Error",±1.4
    20.0 to 24.9 percent,"37,831","Santa Clara County, California!!Percent Margin of Error",±1.1
    25.0 to 29.9 percent,"31,228","Santa Clara County, California!!Percent Margin of Error",±0.9
    30.0 to 34.9 percent,"27,748","Santa Clara County, California!!Percent Margin of Error",±0.9
    35.0 percent or more,"97,215","Santa Clara County, California!!Percent Margin of Error",±1.4
    Not computed,940,"Santa Clara County, California!!Percent Margin of Error",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than 10.0 percent,"43,387","Santa Clara County, California!!Percent Margin of Error",±2.3
    10.0 to 14.9 percent,"14,242","Santa Clara County, California!!Percent Margin of Error",±1.7
    15.0 to 19.9 percent,"8,796","Santa Clara County, California!!Percent Margin of Error",±1.5
    20.0 to 24.9 percent,"5,781","Santa Clara County, California!!Percent Margin of Error",±1.4
    25.0 to 29.9 percent,"2,687","Santa Clara County, California!!Percent Margin of Error",±0.9
    30.0 to 34.9 percent,"2,337","Santa Clara County, California!!Percent Margin of Error",±0.8
    35.0 percent or more,"7,889","Santa Clara County, California!!Percent Margin of Error",±1.4
    Not computed,"1,560","Santa Clara County, California!!Percent Margin of Error",(X)
GROSS RENT,,"Santa Clara County, California!!Percent Margin of Error",
    Occupied units paying rent,"250,980","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than $200,"1,021","Santa Clara County, California!!Percent Margin of Error",±0.2
    $200 to $299,"5,127","Santa Clara County, California!!Percent Margin of Error",±0.5
    $300 to $499,"5,300","Santa Clara County, California!!Percent Margin of Error",±0.4
    $500 to $749,"13,324","Santa Clara County, California!!Percent Margin of Error",±0.8
    $750 to $999,"26,134","Santa Clara County, California!!Percent Margin of Error",±1.1
"    $1,000 to $1,499","90,157","Santa Clara County, California!!Percent Margin of Error",±2.0
"    $1,500 or more","109,917","Santa Clara County, California!!Percent Margin of Error",±1.8
    Median (dollars),"1,418","Santa Clara County, California!!Percent Margin of Error",(X)
    No rent paid,"5,300","Santa Clara County, California!!Percent Margin of Error",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Santa Clara County, California!!Percent Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Santa Clara County, California!!Percent Margin of Error",(X)
    Less than 15.0 percent,"36,283","Santa Clara County, California!!Percent Margin of Error",±1.2
    15.0 to 19.9 percent,"35,384","Santa Clara County, California!!Percent Margin of Error",±1.3
    20.0 to 24.9 percent,"29,917","Santa Clara County, California!!Percent Margin of Error",±1.1
    25.0 to 29.9 percent,"27,507","Santa Clara County, California!!Percent Margin of Error",±1.2
    30.0 to 34.9 percent,"23,888","Santa Clara County, California!!Percent Margin of Error",±1.1
    35.0 percent or more,"93,855","Santa Clara County, California!!Percent Margin of Error",±1.4
    Not computed,"9,446","Santa Clara County, California!!Percent Margin of Error",(X)
HOUSING OCCUPANCY,,"Montgomery County, Maryland!!Estimate",
